time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-13_04:03:27.906568,2500,6,0,541.0,512.0,1206.0,65.875,393.8333333333333,426.6666666666667,873.3333333333334,47.479166666666664,541.0,512.0,1206.0,65.875,393.8333333333333,426.6666666666667,873.3333333333334,47.479166666666664
2019-02-13_04:03:29.999786,5000,11,0,841.0,1024.0,1836.0,103.375,449.1818181818182,488.72727272727275,989.8181818181819,54.39772727272727,841.0,1024.0,1836.0,103.375,449.1818181818182,488.72727272727275,989.8181818181819,54.39772727272727
2019-02-13_04:03:32.077458,7500,16,0,841.0,1024.0,1836.0,103.375,444.1875,480.0,980.875,53.7734375,841.0,1024.0,1836.0,103.375,444.1875,480.0,980.875,53.7734375
2019-02-13_04:03:34.155094,10000,22,0,841.0,1024.0,1836.0,103.375,444.77272727272725,488.72727272727275,981.6363636363636,53.84659090909091,841.0,1024.0,1836.0,103.375,444.77272727272725,488.72727272727275,981.6363636363636,53.84659090909091
2019-02-13_04:03:36.232727,12500,26,0,841.0,1024.0,1836.0,103.375,465.53846153846155,512.0,1026.923076923077,56.44230769230769,841.0,1024.0,1836.0,103.375,465.53846153846155,512.0,1026.923076923077,56.44230769230769
2019-02-13_04:03:38.294740,15000,31,0,841.0,1024.0,1836.0,103.375,475.61290322580646,536.7741935483871,1048.6451612903227,57.70161290322581,841.0,1024.0,1836.0,103.375,475.61290322580646,536.7741935483871,1048.6451612903227,57.70161290322581
2019-02-13_04:03:40.356753,17500,37,0,841.0,1024.0,1836.0,103.375,465.4054054054054,522.3783783783783,1026.3783783783783,56.42567567567568,841.0,1024.0,1836.0,103.375,465.4054054054054,522.3783783783783,1026.3783783783783,56.42567567567568
2019-02-13_04:03:42.434389,20000,42,0,841.0,1024.0,1836.0,103.375,469.7857142857143,527.2380952380952,1037.2380952380952,56.973214285714285,841.0,1024.0,1836.0,103.375,469.7857142857143,527.2380952380952,1037.2380952380952,56.973214285714285
2019-02-13_04:03:44.512022,22500,47,0,888.0,1024.0,1930.0,109.25,478.6170212765957,531.063829787234,1055.7446808510638,58.077127659574465,888.0,1024.0,1930.0,109.25,478.6170212765957,531.063829787234,1055.7446808510638,58.077127659574465
2019-02-13_04:03:46.574065,25000,51,0,920.0,1024.0,2010.0,113.25,484.4901960784314,534.5882352941177,1068.0,58.81127450980392,920.0,1024.0,2010.0,113.25,484.4901960784314,534.5882352941177,1068.0,58.81127450980392
