step,game,eps,max_tile,sum,total_reward
335,1,0,512,740,40.125
802,2,0,512,1036,56.625
1067,3,0,256,594,31.375
1334,4,0,256,592,31.625
1822,5,0,512,1072,59.25
2363,6,0,512,1206,65.875
2740,7,0,512,838,45.375
3211,8,0,512,1018,57.125
3751,9,0,512,1182,65.75
4100,10,0,256,774,41.875
4941,11,0,1024,1836,103.375
5203,12,0,256,580,31.0
5781,13,0,512,1274,70.5
6068,14,0,256,654,34.125
6783,15,0,1024,1586,87.625
7107,16,0,256,712,38.75
7617,17,0,512,1142,62.0
8392,18,0,1024,1716,95.125
8682,19,0,256,630,34.5
9205,20,0,512,1144,63.625
9427,21,0,256,490,26.0
9785,22,0,512,780,43.0
10300,23,0,512,1134,62.625
10804,24,0,512,1106,61.25
11522,25,0,1024,1600,88.0
12104,26,0,512,1264,71.0
12890,27,0,1024,1740,96.5
13168,28,0,256,604,33.0
13596,29,0,512,944,51.75
14083,30,0,512,1080,59.125
14744,31,0,1024,1440,80.875
15227,32,0,512,1070,58.625
15698,33,0,512,1026,57.125
15861,34,0,128,360,18.625
16386,35,0,512,1158,63.875
16827,36,0,512,982,53.375
17220,37,0,512,872,47.375
17735,38,0,512,1152,62.625
18005,39,0,256,616,32.0
18499,40,0,512,1082,60.0
19124,41,0,1024,1394,76.375
19731,42,0,512,1344,74.125
20053,43,0,256,714,38.5
20545,44,0,512,1078,59.75
21056,45,0,512,1124,62.125
21607,46,0,512,1210,67.125
22495,47,0,1024,1930,109.25
23415,48,0,1024,2010,113.25
24009,49,0,512,1288,72.5
24240,50,0,256,504,27.125
24709,51,0,512,1046,56.875
