time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-12_12:12:01.254398,2500,19,0.8333333333333334,202.0,256.0,456.0,23.5,128.68421052631578,126.3157894736842,287.6842105263158,14.335526315789474,202.0,256.0,456.0,23.5,128.68421052631578,126.3157894736842,287.6842105263158,14.335526315789474
2019-02-12_12:12:18.281628,5000,41,0.7142857142857143,215.0,256.0,470.0,25.125,121.07317073170732,118.63414634146342,271.219512195122,13.384146341463415,215.0,256.0,470.0,25.125,121.07317073170732,118.63414634146342,271.219512195122,13.384146341463415
2019-02-12_12:12:36.152407,7500,61,0.625,243.0,256.0,542.0,28.625,119.80327868852459,114.88524590163935,268.8196721311475,13.225409836065573,243.0,256.0,542.0,28.625,119.80327868852459,114.88524590163935,268.8196721311475,13.225409836065573
2019-02-12_12:12:53.460820,10000,83,0.5555555555555556,243.0,256.0,542.0,28.625,120.144578313253,113.73493975903614,269.51807228915663,13.268072289156626,243.0,256.0,542.0,28.625,120.144578313253,113.73493975903614,269.51807228915663,13.268072289156626
2019-02-12_12:13:11.456569,12500,105,0.5,243.0,256.0,542.0,28.625,117.76190476190476,108.8,263.84761904761905,12.970238095238095,243.0,256.0,542.0,28.625,117.38,107.2,263.28,12.9225
2019-02-12_12:13:29.014925,15000,128,0.45454545454545453,243.0,256.0,542.0,28.625,116.328125,106.5,260.46875,12.791015625,243.0,256.0,542.0,28.625,114.02,102.08,254.96,12.5025
2019-02-12_12:13:46.338959,17500,149,0.4166666666666667,243.0,256.0,542.0,28.625,116.83892617449665,106.95302013422818,261.48993288590606,12.854865771812081,243.0,256.0,542.0,28.625,114.04,101.76,255.14,12.505
2019-02-12_12:14:03.803584,20000,169,0.38461538461538464,243.0,256.0,542.0,28.625,117.85798816568047,108.11834319526628,263.7278106508876,12.982248520710058,237.0,256.0,524.0,27.875,115.93,104.0,259.02,12.74125
2019-02-12_12:14:21.330695,22500,194,0.35714285714285715,243.0,256.0,542.0,28.625,115.79896907216495,106.0618556701031,259.0515463917526,12.724871134020619,237.0,256.0,524.0,27.875,113.73,102.72,253.96,12.46625
2019-02-12_12:14:39.716978,25000,217,0.3333333333333333,243.0,256.0,542.0,28.625,115.15668202764977,104.99539170506912,257.89861751152074,12.64458525345622,223.0,256.0,486.0,26.125,112.0,100.8,250.86,12.25
