step,game,eps,max_tile,sum,total_reward
140,1,0.9889240506329114,128,300,15.75
225,2,0.9823182711198428,64,194,8.875
319,3,0.9751150635775021,128,208,10.0
444,4,0.965698393077874,128,266,13.875
627,5,0.9522358497752723,256,408,21.125
771,6,0.9419033983874614,128,336,16.25
883,7,0.9340207726219831,128,254,12.25
1085,8,0.9201324990798675,256,456,23.5
1229,9,0.9104814625974215,128,324,16.25
1333,10,0.9036362321983662,64,230,11.25
1496,11,0.8931123178050872,128,352,18.625
1552,12,0.8895530885283234,32,126,5.25
1738,13,0.8779322938614974,128,418,21.5
1824,14,0.8726612678022898,64,190,9.0
1974,15,0.8636175210722675,128,330,17.0
2069,16,0.8579861349440593,64,202,10.125
2252,17,0.8473427331887202,256,430,21.125
2373,18,0.8404491360182882,128,272,13.375
2445,19,0.8364001338240215,64,170,7.25
2614,20,0.8270477702792113,256,378,19.375
2773,21,0.8184377659922739,128,364,18.125
2859,22,0.8138550686893677,64,198,9.0
2989,23,0.80702433985409,128,294,14.5
3075,24,0.8025682182985554,64,202,9.0
3201,25,0.7961276351824724,128,288,14.0
3275,26,0.7923930269413629,64,168,7.5
3363,27,0.7879972262497636,64,202,9.25
3488,28,0.7818363772829622,128,284,13.875
3540,29,0.7793017456359103,32,116,4.75
3673,30,0.7728930934273172,128,308,14.875
3857,31,0.7641988139634407,256,406,21.25
3975,32,0.7587253414264037,64,264,13.0
4080,33,0.7539203860072377,128,228,11.375
4175,34,0.7496251874062968,64,212,10.125
4248,35,0.7463577740625746,64,160,7.375
4334,36,0.7425448497089224,64,192,9.0
4422,37,0.7386833707599575,64,194,9.25
4561,38,0.7326651427231698,128,306,15.625
4632,39,0.7296287648844269,64,164,7.125
4749,40,0.7246796915763233,128,256,12.875
4964,41,0.7157581310123683,256,470,25.125
5050,42,0.7122507122507122,64,186,9.0
5192,43,0.7065340266787249,128,320,16.0
5322,44,0.7013803164627987,128,286,14.5
5420,45,0.6975446428571429,64,224,10.5
5578,46,0.6914481690452484,128,352,18.0
5711,47,0.6863983306792598,128,302,14.875
5872,48,0.6803831918136294,128,356,18.375
6005,49,0.6754931099702783,128,302,14.875
6134,50,0.6708167865192659,128,288,14.375
6256,51,0.6664534015781617,64,272,13.5
6336,52,0.6636228498619664,32,184,8.25
6501,53,0.6578601126256512,256,372,18.875
6561,54,0.6557893080111222,32,142,5.75
6804,55,0.6475341898052217,256,542,28.625
6897,56,0.6444295509614889,128,218,9.875
6979,57,0.6417167205708711,64,184,8.5
7042,58,0.6396479377750486,32,144,6.125
7124,59,0.6369751324908276,64,186,8.5
7200,60,0.6345177664974619,64,176,7.75
7308,61,0.6310581583198708,128,242,11.75
7512,62,0.624625224865081,256,446,23.75
7653,63,0.6202550488760978,128,318,15.875
7833,64,0.6147641764619092,128,396,20.75
7923,65,0.6120550359888361,64,204,9.5
8065,66,0.6078288353999514,128,312,16.0
8181,67,0.6044195154973164,64,252,12.75
8236,68,0.6028163580246914,32,136,5.125
8325,69,0.6002400960384153,64,206,9.375
8435,70,0.5970862192500597,64,238,12.0
8569,71,0.5932887180217381,128,296,15.0
8661,72,0.5907093237559662,64,206,9.75
8881,73,0.5846312146298115,256,490,25.75
8964,74,0.5823704808050689,64,192,8.625
9147,75,0.577447221323971,256,420,21.125
9274,76,0.5740791770000918,128,290,14.125
9413,77,0.5704376397572217,128,314,15.625
9502,78,0.5681301699845469,64,202,9.375
9561,79,0.5666107610715743,32,136,5.625
9667,80,0.5639012947173727,128,234,11.5
9808,81,0.5603370987986372,128,316,15.875
