step,game,eps,max_tile,sum,total_reward
427,1,0,512,954,51.625
1257,2,0,1024,1822,102.0
1643,3,0,256,858,46.5
2064,4,0,512,932,50.875
2532,5,0,512,1046,56.75
2930,6,0,512,878,48.0
3453,7,0,512,1148,63.625
3857,8,0,512,888,48.75
4578,9,0,512,1598,88.375
5066,10,0,512,1082,59.25
5916,11,0,1024,1896,104.5
6456,12,0,512,1200,65.75
6934,13,0,512,1068,58.0
7434,14,0,512,1116,60.75
8198,15,0,1024,1676,93.75
8759,16,0,512,1232,68.375
9607,17,0,1024,1870,104.25
10193,18,0,512,1292,71.5
10458,19,0,256,578,31.375
10712,20,0,256,568,30.0
11169,21,0,512,992,55.375
11803,22,0,1024,1406,77.5
12443,23,0,512,1396,78.25
12758,24,0,256,704,37.625
12938,25,0,128,396,20.75
13165,26,0,256,518,26.625
13623,27,0,512,1010,55.5
13984,28,0,256,784,43.375
14538,29,0,512,1224,67.5
15500,30,0,1024,2136,118.5
16256,31,0,1024,1682,92.75
16930,32,0,1024,1488,82.5
17240,33,0,256,702,37.0
17765,34,0,512,1148,63.875
18191,35,0,512,938,51.5
18704,36,0,512,1146,62.375
18800,37,0,64,210,10.25
19082,38,0,256,618,33.5
19530,39,0,256,970,54.25
20352,40,0,1024,1804,101.0
20596,41,0,128,538,28.75
21327,42,0,1024,1592,89.625
21897,43,0,512,1260,69.5
22516,44,0,512,1342,75.625
23127,45,0,512,1344,74.625
23423,46,0,256,640,35.25
23690,47,0,256,602,31.625
24058,48,0,256,796,44.25
24346,49,0,256,636,34.25
24898,50,0,512,1216,67.25
