time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-12_11:29:54.888326,2500,20,0.7776049766718507,212.0,256.0,484.0,24.75,123.5,105.6,273.7,13.6875,212.0,256.0,484.0,24.75,123.5,105.6,273.7,13.6875
2019-02-12_11:29:59.661666,5000,43,0.6350415952244872,212.0,256.0,484.0,24.75,114.6046511627907,99.72093023255815,255.25581395348837,12.575581395348838,212.0,256.0,484.0,24.75,114.6046511627907,99.72093023255815,255.25581395348837,12.575581395348838
2019-02-12_11:30:04.754169,7500,63,0.5370569280343717,212.0,256.0,484.0,24.75,118.58730158730158,105.14285714285714,264.3809523809524,13.073412698412698,212.0,256.0,484.0,24.75,118.58730158730158,105.14285714285714,264.3809523809524,13.073412698412698
2019-02-12_11:30:09.988457,10000,87,0.4647056089967006,212.0,256.0,484.0,24.75,113.49425287356321,98.57471264367815,253.3793103448276,12.436781609195402,212.0,256.0,484.0,24.75,113.49425287356321,98.57471264367815,253.3793103448276,12.436781609195402
2019-02-12_11:30:15.554787,12500,109,0.40909834724267713,212.0,256.0,484.0,24.75,113.85321100917432,98.64220183486239,254.5321100917431,12.48165137614679,212.0,256.0,484.0,24.75,112.96,99.2,252.92,12.37
2019-02-12_11:30:21.329724,15000,130,0.3653902367728734,212.0,256.0,484.0,24.75,114.5,99.2,255.84615384615384,12.5625,203.0,256.0,452.0,23.625,114.34,99.2,255.72,12.5425
2019-02-12_11:30:27.302857,17500,151,0.3297283038776049,212.0,256.0,484.0,24.75,115.80794701986756,101.93377483443709,258.70198675496687,12.725993377483444,203.0,256.0,452.0,23.625,116.37,103.68,260.24,12.79625
2019-02-12_11:30:33.316390,20000,173,0.30080616051016723,216.0,256.0,484.0,25.25,115.4393063583815,101.91907514450867,257.9884393063584,12.679913294797688,216.0,256.0,476.0,25.25,115.24,102.08,257.68,12.655
2019-02-12_11:30:39.386538,22500,192,0.2761515519717221,245.0,256.0,546.0,28.875,116.07291666666667,101.33333333333333,259.3229166666667,12.759114583333334,245.0,256.0,546.0,28.875,117.73,103.04,263.16,12.96625
2019-02-12_11:30:45.489039,25000,215,0.25540174694794915,245.0,256.0,546.0,28.875,116.27906976744185,101.80465116279069,259.95348837209303,12.784883720930232,245.0,256.0,546.0,28.875,118.52,104.32,264.94,13.065
2019-02-12_11:30:51.773704,27500,235,0.23743945293950042,245.0,256.0,546.0,28.875,116.90212765957448,101.44680851063829,261.0468085106383,12.86276595744681,245.0,256.0,546.0,28.875,120.17,104.32,268.16,13.27125
2019-02-12_11:30:57.978984,30000,256,0.2217983409484097,245.0,256.0,546.0,28.875,117.12890625,102.25,261.5078125,12.89111328125,245.0,256.0,546.0,28.875,119.71,103.04,266.76,13.21375
2019-02-12_11:31:04.322394,32500,279,0.20814686843036448,245.0,256.0,546.0,28.875,116.40143369175627,101.04659498207886,260.02867383512546,12.800179211469533,245.0,256.0,546.0,28.875,118.13,100.48,263.76,13.01625
2019-02-12_11:31:10.581428,35000,301,0.1961476599584167,245.0,256.0,546.0,28.875,116.1328903654485,100.25249169435216,259.5548172757475,12.766611295681063,230.0,256.0,498.0,27.0,114.32,95.68,255.64,12.54
2019-02-12_11:31:17.940831,37500,321,0.1853911753800519,245.0,256.0,546.0,28.875,116.3644859813084,100.78504672897196,260.0747663551402,12.79556074766355,230.0,256.0,498.0,27.0,116.52,98.88,260.44,12.815
2019-02-12_11:31:24.635633,40000,343,0.17576545857208142,245.0,256.0,546.0,28.875,116.11661807580175,100.57142857142857,259.5568513119534,12.76457725947522,230.0,256.0,498.0,27.0,115.22,99.52,258.12,12.6525
