time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-13_11:00:29.102939,1500,9,0,241.0,256.0,534.0,28.375,162.44444444444446,128.0,363.55555555555554,18.555555555555557,241.0,256.0,534.0,28.375,162.44444444444446,128.0,363.55555555555554,18.555555555555557
2019-02-13_11:00:31.152050,3000,18,0,266.0,256.0,592.0,31.5,162.5,126.22222222222223,362.8888888888889,18.5625,266.0,256.0,592.0,31.5,162.5,126.22222222222223,362.8888888888889,18.5625
2019-02-13_11:00:32.711336,4500,23,0,336.0,256.0,744.0,40.25,177.2173913043478,132.17391304347825,394.60869565217394,20.402173913043477,336.0,256.0,744.0,40.25,177.2173913043478,132.17391304347825,394.60869565217394,20.402173913043477
2019-02-13_11:00:34.202211,6000,33,0,515.0,512.0,1142.0,62.625,181.4848484848485,142.54545454545453,403.93939393939394,20.935606060606062,515.0,512.0,1142.0,62.625,181.4848484848485,142.54545454545453,403.93939393939394,20.935606060606062
2019-02-13_11:00:35.943090,7500,41,0,515.0,512.0,1142.0,62.625,178.82926829268294,142.82926829268294,398.1463414634146,20.603658536585368,515.0,512.0,1142.0,62.625,178.82926829268294,142.82926829268294,398.1463414634146,20.603658536585368
2019-02-13_11:00:37.461858,9000,49,0,515.0,512.0,1142.0,62.625,180.20408163265307,145.6326530612245,401.3061224489796,20.775510204081634,515.0,512.0,1142.0,62.625,180.20408163265307,145.6326530612245,401.3061224489796,20.775510204081634
2019-02-13_11:00:39.361795,10500,56,0,515.0,512.0,1142.0,62.625,184.60714285714286,146.28571428571428,410.5,21.325892857142858,515.0,512.0,1142.0,62.625,184.60714285714286,146.28571428571428,410.5,21.325892857142858
2019-02-13_11:00:40.771822,12000,66,0,515.0,512.0,1142.0,62.625,180.4848484848485,140.6060606060606,401.6363636363636,20.810606060606062,515.0,512.0,1142.0,62.625,180.4848484848485,140.6060606060606,401.6363636363636,20.810606060606062
2019-02-13_11:00:42.202134,13500,75,0,515.0,512.0,1142.0,62.625,179.30666666666667,140.8,398.61333333333334,20.663333333333334,515.0,512.0,1142.0,62.625,179.30666666666667,140.8,398.61333333333334,20.663333333333334
2019-02-13_11:00:43.921811,15000,84,0,515.0,512.0,1142.0,62.625,177.01190476190476,140.1904761904762,394.23809523809524,20.376488095238095,515.0,512.0,1142.0,62.625,177.01190476190476,140.1904761904762,394.23809523809524,20.376488095238095
2019-02-13_11:00:45.601777,16500,91,0,515.0,512.0,1142.0,62.625,178.16483516483515,142.76923076923077,396.85714285714283,20.520604395604394,515.0,512.0,1142.0,62.625,178.16483516483515,142.76923076923077,396.85714285714283,20.520604395604394
2019-02-13_11:00:47.670437,18000,101,0,515.0,512.0,1142.0,62.625,178.21782178217822,143.20792079207922,396.970297029703,20.527227722772277,515.0,512.0,1142.0,62.625,178.44,143.36,397.42,20.555
2019-02-13_11:00:49.212015,19500,109,0,515.0,512.0,1142.0,62.625,178.70642201834863,142.67889908256882,397.9449541284404,20.58830275229358,515.0,512.0,1142.0,62.625,180.17,144.0,401.04,20.77125
2019-02-13_11:00:50.706350,21000,117,0,515.0,512.0,1142.0,62.625,178.44444444444446,141.67521367521368,397.5726495726496,20.555555555555557,515.0,512.0,1142.0,62.625,181.15,144.32,403.34,20.89375
2019-02-13_11:00:52.495732,22500,127,0,515.0,512.0,1142.0,62.625,177.04724409448818,140.8503937007874,394.34645669291336,20.380905511811022,356.0,256.0,788.0,42.75,174.47,139.52,388.72,20.05875
2019-02-13_11:00:54.096746,24000,132,0,515.0,512.0,1142.0,62.625,179.75757575757575,145.21212121212122,400.3939393939394,20.71969696969697,428.0,512.0,958.0,51.75,180.45,147.2,401.92,20.80625
