step,game,eps,max_tile,sum,total_reward
156,1,0,128,352,17.75
302,2,0,128,330,16.5
409,3,0,64,248,11.625
596,4,0,128,408,21.625
797,5,0,128,448,23.375
1038,6,0,256,534,28.375
1173,7,0,128,298,15.125
1260,8,0,64,186,9.125
1462,9,0,128,468,23.5
1569,10,0,64,242,11.625
1658,11,0,32,198,9.375
1817,12,0,128,354,18.125
1955,13,0,128,316,15.5
2149,14,0,128,438,22.5
2317,15,0,128,376,19.25
2583,16,0,256,592,31.5
2763,17,0,128,394,20.75
2925,18,0,128,350,18.5
3132,19,0,128,460,24.125
3468,20,0,256,744,40.25
3695,21,0,128,496,26.625
3905,22,0,128,466,24.5
4076,23,0,128,378,19.625
4591,24,0,512,1142,62.625
4721,25,0,128,292,14.5
4871,26,0,128,330,17.0
5038,27,0,128,370,19.125
5189,28,0,128,338,17.125
5275,29,0,64,196,9.0
5367,30,0,64,200,9.75
5535,31,0,128,388,19.25
5683,32,0,128,328,16.75
5989,33,0,256,670,36.5
6150,34,0,128,358,18.375
6279,35,0,128,294,14.375
6439,36,0,128,352,18.25
6596,37,0,128,342,17.875
6747,38,0,128,336,17.125
7007,39,0,256,570,30.75
7156,40,0,128,340,16.875
7332,41,0,128,402,20.25
7551,42,0,256,476,25.625
7662,43,0,128,268,12.125
7859,44,0,128,448,22.875
8076,45,0,256,472,25.375
8254,46,0,128,384,20.5
8382,47,0,128,292,14.25
8575,48,0,128,434,22.375
8830,49,0,128,566,30.125
9151,50,0,128,708,38.375
9353,51,0,128,436,23.5
9433,52,0,32,178,8.25
9631,53,0,128,422,23.0
9926,54,0,256,678,35.125
10142,55,0,256,474,25.25
10338,56,0,128,428,22.75
10535,57,0,128,450,22.875
10691,58,0,128,348,17.75
10823,59,0,64,298,14.75
10928,60,0,64,232,11.375
11098,61,0,128,380,19.5
11333,62,0,128,516,27.625
11477,63,0,128,324,16.25
11636,64,0,64,362,18.125
11778,65,0,128,310,16.0
11912,66,0,128,300,15.0
12187,67,0,256,594,32.625
12307,68,0,64,264,13.25
12462,69,0,128,346,17.625
12566,70,0,64,226,11.25
12754,71,0,256,416,21.75
12925,72,0,128,370,19.625
13261,73,0,256,736,40.25
13343,74,0,64,196,8.5
13448,75,0,64,240,11.375
13634,76,0,128,412,21.5
13739,77,0,64,236,11.375
13898,78,0,128,350,18.125
14029,79,0,64,298,14.625
14258,80,0,256,526,26.875
14396,81,0,128,324,15.5
14542,82,0,64,324,16.5
14740,83,0,256,448,23.0
14869,84,0,128,302,14.375
15119,85,0,256,552,29.5
15252,86,0,128,298,14.875
15411,87,0,128,364,18.125
15596,88,0,128,406,21.375
15874,89,0,256,614,33.0
15980,90,0,64,240,11.5
16213,91,0,256,524,27.375
16569,92,0,256,788,42.75
16653,93,0,64,190,8.75
16904,94,0,256,552,29.625
17021,95,0,128,280,12.875
17179,96,0,128,346,18.0
17315,97,0,128,300,15.25
17580,98,0,256,590,31.375
17760,99,0,128,394,20.75
17847,100,0,64,198,9.125
18000,101,0,64,342,17.375
18195,102,0,128,434,22.625
18329,103,0,64,296,15.0
18479,104,0,64,330,17.0
18765,105,0,256,628,34.0
18994,106,0,128,514,26.875
19166,107,0,128,378,19.75
19379,108,0,256,474,24.875
19479,109,0,64,228,10.75
19612,110,0,64,292,14.875
19753,111,0,128,316,15.875
19848,112,0,64,208,10.125
20172,113,0,256,740,38.75
20287,114,0,64,266,12.625
20577,115,0,256,636,34.5
20746,116,0,128,390,19.375
20878,117,0,64,292,14.75
21057,118,0,128,390,20.625
21195,119,0,128,300,15.5
21281,120,0,32,192,9.0
21440,121,0,128,350,18.125
21592,122,0,128,324,17.25
21780,123,0,128,436,21.75
21945,124,0,256,364,18.875
22115,125,0,128,374,19.5
22285,126,0,128,384,19.5
22485,127,0,128,452,23.25
22661,128,0,128,392,20.25
23089,129,0,512,958,51.75
23258,130,0,128,376,19.375
23521,131,0,256,582,31.125
23728,132,0,256,462,24.125
24015,133,0,256,628,34.125
24126,134,0,64,244,12.125
24217,135,0,32,194,9.625
24353,136,0,64,294,15.25
24552,137,0,128,448,23.125
24817,138,0,256,608,31.375
24971,139,0,128,342,17.5
