time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-13_10:23:14.629344,1500,12,0.7418397626112759,190.0,256.0,416.0,22.0,123.25,117.33333333333333,273.3333333333333,13.65625,190.0,256.0,416.0,22.0,123.25,117.33333333333333,273.3333333333333,13.65625
2019-02-13_10:23:17.502648,3000,26,0.5907372400756143,197.0,256.0,444.0,22.875,114.3076923076923,102.15384615384616,256.2307692307692,12.538461538461538,197.0,256.0,444.0,22.875,114.3076923076923,102.15384615384616,256.2307692307692,12.538461538461538
2019-02-13_10:23:20.610576,4500,39,0.4894283476898982,197.0,256.0,444.0,22.875,112.7948717948718,98.46153846153847,253.02564102564102,12.349358974358974,197.0,256.0,444.0,22.875,112.7948717948718,98.46153846153847,253.02564102564102,12.349358974358974
2019-02-13_10:23:23.505103,6000,51,0.41841004184100417,223.0,256.0,490.0,26.125,117.13725490196079,104.15686274509804,262.0,12.892156862745098,223.0,256.0,490.0,26.125,117.13725490196079,104.15686274509804,262.0,12.892156862745098
2019-02-13_10:23:26.263779,7500,63,0.3642456472645152,223.0,256.0,490.0,26.125,117.47619047619048,106.15873015873017,262.984126984127,12.93452380952381,223.0,256.0,490.0,26.125,117.47619047619048,106.15873015873017,262.984126984127,12.93452380952381
2019-02-13_10:23:29.033559,9000,76,0.32208193764493687,226.0,256.0,490.0,26.5,118.0657894736842,107.36842105263158,263.55263157894734,13.008223684210526,226.0,256.0,490.0,26.5,118.0657894736842,107.36842105263158,263.55263157894734,13.008223684210526
2019-02-13_10:23:31.859358,10500,88,0.2884171665897554,226.0,256.0,490.0,26.5,118.5909090909091,106.18181818181819,264.84090909090907,13.073863636363637,226.0,256.0,490.0,26.5,118.5909090909091,106.18181818181819,264.84090909090907,13.073863636363637
2019-02-13_10:23:34.668403,12000,100,0.26074259491030455,226.0,256.0,490.0,26.5,118.32,105.6,263.98,13.04,226.0,256.0,490.0,26.5,118.32,105.6,263.98,13.04
2019-02-13_10:23:37.360281,13500,115,0.23822002001048168,226.0,256.0,490.0,26.5,117.23478260869565,103.79130434782608,261.7217391304348,12.904347826086957,226.0,256.0,490.0,26.5,117.68,103.68,262.94,12.96
2019-02-13_10:23:40.349408,15000,128,0.21896211955331726,226.0,256.0,490.0,26.5,116.25,101.5,259.4375,12.78125,226.0,256.0,490.0,26.5,117.18,101.44,260.98,12.8975
2019-02-13_10:23:43.589758,16500,141,0.20253574755944423,226.0,256.0,490.0,26.5,116.71631205673759,102.35460992907801,260.6808510638298,12.839539007092199,226.0,256.0,490.0,26.5,118.08,104.0,263.28,13.01
2019-02-13_10:23:46.610745,18000,154,0.18822466496009638,231.0,256.0,506.0,27.125,116.31818181818181,100.57142857142857,259.61038961038963,12.789772727272727,231.0,256.0,506.0,27.125,116.3,98.88,259.22,12.7875
2019-02-13_10:23:49.681128,19500,167,0.1757407472496573,231.0,256.0,506.0,27.125,116.01796407185628,99.06586826347305,258.8502994011976,12.752245508982035,231.0,256.0,506.0,27.125,115.26,94.4,256.76,12.6575
2019-02-13_10:23:52.688156,21000,180,0.1648424106554134,231.0,256.0,506.0,27.125,116.24444444444444,97.77777777777777,259.4111111111111,12.780555555555555,231.0,256.0,506.0,27.125,115.69,92.16,257.9,12.71125
2019-02-13_10:23:55.720221,22500,193,0.1552457540286273,231.0,256.0,506.0,27.125,116.46632124352331,97.16062176165804,259.79274611398966,12.808290155440414,231.0,256.0,506.0,27.125,114.51,89.28,255.28,12.56375
2019-02-13_10:23:58.758381,24000,205,0.14667057788207685,231.0,256.0,506.0,27.125,116.77560975609757,97.24878048780488,260.44878048780487,12.846951219512196,231.0,256.0,506.0,27.125,114.05,86.72,254.34,12.50625
2019-02-13_10:24:02.038058,25500,216,0.1389197599466548,231.0,256.0,506.0,27.125,117.47685185185185,98.22222222222223,262.0462962962963,12.934606481481481,231.0,256.0,506.0,27.125,118.15,92.16,263.3,13.01875
2019-02-13_10:24:05.299082,27000,228,0.13191219924018574,276.0,256.0,614.0,32.75,118.15789473684211,98.94736842105263,263.7894736842105,13.019736842105264,276.0,256.0,614.0,32.75,120.6,95.68,269.36,13.325
2019-02-13_10:24:08.588458,28500,241,0.12573239117861543,276.0,256.0,614.0,32.75,118.25311203319502,98.92116182572614,264.0248962655602,13.031639004149378,276.0,256.0,614.0,32.75,120.42,94.08,268.74,13.3025
2019-02-13_10:24:12.106436,30000,252,0.12007684918347743,276.0,256.0,614.0,32.75,118.73809523809524,99.04761904761905,265.04761904761904,13.092261904761905,276.0,256.0,614.0,32.75,122.15,96.0,272.8,13.51875
2019-02-13_10:24:15.468186,31500,264,0.11471836641046232,276.0,256.0,614.0,32.75,118.87121212121212,99.27272727272727,265.3181818181818,13.108901515151516,276.0,256.0,614.0,32.75,123.72,99.52,276.24,13.715
2019-02-13_10:24:18.408282,33000,276,0.10988045007032349,276.0,256.0,614.0,32.75,119.08333333333333,99.1304347826087,265.8695652173913,13.135416666666666,276.0,256.0,614.0,32.75,123.87,100.8,276.72,13.73375
2019-02-13_10:24:21.498285,34500,289,0.10549413452612035,313.0,512.0,692.0,37.375,119.26297577854672,100.09688581314879,266.318339100346,13.15787197231834,313.0,512.0,692.0,37.375,124.74,104.96,278.98,13.8425
2019-02-13_10:24:24.869567,36000,302,0.10147339367617811,313.0,512.0,692.0,37.375,119.04966887417218,99.9205298013245,265.841059602649,13.131208609271523,313.0,512.0,692.0,37.375,123.98,105.6,277.3,13.7475
2019-02-13_10:24:27.978071,37500,313,0.1,313.0,512.0,692.0,37.375,119.6773162939297,100.60063897763578,267.1373801916933,13.209664536741213,313.0,512.0,692.0,37.375,124.2,104.64,277.54,13.775
2019-02-13_10:24:31.248037,39000,322,0.1,313.0,512.0,692.0,37.375,120.74844720496894,101.01863354037268,269.3726708074534,13.343555900621118,313.0,512.0,692.0,37.375,125.75,103.84,280.4,13.96875
2019-02-13_10:24:34.367948,40500,334,0.1,313.0,512.0,692.0,37.375,121.03293413173652,100.64670658682634,269.88023952095807,13.379116766467066,313.0,512.0,692.0,37.375,127.76,104.8,284.18,14.22
2019-02-13_10:24:37.808375,42000,347,0.1,313.0,512.0,692.0,37.375,120.99423631123919,100.47262247838617,269.7521613832853,13.374279538904899,313.0,512.0,692.0,37.375,126.65,103.84,281.64,14.08125
2019-02-13_10:24:41.279950,43500,358,0.1,313.0,512.0,692.0,37.375,121.3463687150838,101.13966480446928,270.463687150838,13.418296089385475,313.0,512.0,692.0,37.375,127.96,106.08,284.1,14.245
2019-02-13_10:24:44.528025,45000,370,0.1,313.0,512.0,692.0,37.375,121.55135135135136,101.44864864864864,271.0054054054054,13.44391891891892,313.0,512.0,692.0,37.375,128.4,108.48,285.24,14.3
2019-02-13_10:24:47.720020,46500,380,0.1,313.0,512.0,692.0,37.375,122.1842105263158,101.97894736842105,272.5578947368421,13.523026315789474,313.0,512.0,692.0,37.375,131.11,110.08,292.04,14.63875
2019-02-13_10:24:50.640498,48000,391,0.1,313.0,512.0,692.0,37.375,122.44757033248082,101.8925831202046,273.0997442455243,13.555946291560103,286.0,256.0,626.0,34.0,131.38,105.92,292.08,14.6725
2019-02-13_10:24:54.051197,49500,400,0.1,313.0,512.0,692.0,37.375,123.075,102.32,274.48,13.634375,286.0,256.0,626.0,34.0,134.61,109.12,299.28,15.07625
2019-02-13_10:24:57.450253,51000,413,0.1,313.0,512.0,692.0,37.375,123.38256658595641,102.50847457627118,275.0799031476998,13.672820823244551,295.0,256.0,648.0,35.125,134.98,108.48,299.94,15.1225
2019-02-13_10:25:00.739157,52500,426,0.1,313.0,512.0,692.0,37.375,123.16901408450704,102.23474178403755,274.6713615023474,13.64612676056338,295.0,256.0,648.0,35.125,130.25,106.4,290.26,14.53125
2019-02-13_10:25:04.059193,54000,436,0.1,313.0,512.0,692.0,37.375,123.5940366972477,102.97247706422019,275.72477064220186,13.699254587155963,295.0,256.0,648.0,35.125,132.98,111.84,297.1,14.8725
2019-02-13_10:25:07.400318,55500,448,0.1,313.0,512.0,692.0,37.375,123.74776785714286,102.92857142857143,276.0892857142857,13.718470982142858,295.0,256.0,648.0,35.125,133.85,112.16,299.24,14.98125
2019-02-13_10:25:10.578162,57000,458,0.1,313.0,512.0,692.0,37.375,124.20742358078603,103.19650655021834,277.10917030567686,13.775927947598253,295.0,256.0,648.0,35.125,134.45,110.56,300.9,15.05625
2019-02-13_10:25:13.581947,58500,468,0.1,313.0,512.0,692.0,37.375,124.88675213675214,104.13675213675214,278.62820512820514,13.860844017094017,295.0,256.0,648.0,35.125,137.45,114.56,307.38,15.43125
2019-02-13_10:25:17.149183,60000,480,0.1,313.0,512.0,692.0,37.375,124.95,104.06666666666666,278.7875,13.86875,295.0,256.0,648.0,35.125,135.46,112.0,302.46,15.1825
2019-02-13_10:25:20.315469,61500,489,0.1,313.0,512.0,692.0,37.375,125.67280163599182,104.83435582822086,280.3803680981595,13.959100204498977,295.0,256.0,648.0,35.125,137.74,115.52,307.58,15.4675
2019-02-13_10:25:23.637816,63000,500,0.1,313.0,512.0,692.0,37.375,125.852,104.704,280.816,13.9815,295.0,256.0,648.0,35.125,136.96,114.24,306.16,15.37
2019-02-13_10:25:26.760353,64500,511,0.1,356.0,512.0,778.0,42.75,126.02348336594912,105.14285714285714,281.1389432485323,14.00293542074364,356.0,512.0,778.0,42.75,137.0,115.84,306.36,15.375
2019-02-13_10:25:29.779196,66000,520,0.1,356.0,512.0,778.0,42.75,126.86346153846154,106.15384615384616,282.9307692307692,14.107932692307692,356.0,512.0,778.0,42.75,141.66,120.96,316.24,15.9575
2019-02-13_10:25:32.881974,67500,530,0.1,356.0,512.0,778.0,42.75,127.22452830188679,106.80754716981131,283.77358490566036,14.153066037735849,356.0,512.0,778.0,42.75,144.55,126.72,322.54,16.31875
