step,game,eps,max_tile,sum,total_reward
83,1,0.9805844283192783,64,184,8.625
205,2,0.9545628102329133,128,268,13.5
314,3,0.9317927692881103,128,244,11.875
453,4,0.903995660820828,128,310,15.625
643,5,0.8703220191470844,256,416,22.0
816,6,0.8406186953597848,128,384,19.875
911,7,0.8261731658955717,64,214,10.125
991,8,0.8136696501220505,64,178,8.25
1114,9,0.7950389569088885,128,274,13.625
1252,10,0.774593338497289,128,302,15.5
1393,11,0.7557436517533253,128,318,15.875
1479,12,0.7444907683144729,64,188,9.0
1538,13,0.7363770250368189,32,132,5.625
1631,14,0.724952878062926,64,206,9.875
1714,15,0.7152052639107424,64,186,8.625
1765,16,0.709622480840193,32,112,4.625
1962,17,0.6870019236053861,256,444,22.875
2057,18,0.6770480704129993,64,208,10.125
2158,19,0.6669334400426837,64,232,10.875
2297,20,0.6532532009406846,128,320,15.625
2383,21,0.6454111268878275,64,196,9.0
2457,22,0.638814360546825,64,174,7.5
2628,23,0.6222000995520159,128,378,19.625
2757,24,0.6108735491753207,128,296,14.375
2833,25,0.6043026347594875,32,176,7.75
2972,26,0.5926979611190137,128,322,15.625
3029,27,0.5881660981061052,64,146,5.375
3162,28,0.5779678649867067,128,302,14.875
3302,29,0.5670863105364636,128,306,15.75
3394,30,0.5601613264620211,64,204,9.75
3533,31,0.5500550055005501,128,302,15.625
3664,32,0.5409499080385156,128,294,14.625
3763,33,0.5342451116572283,64,224,10.625
3834,34,0.5294927459493805,32,168,7.125
3976,35,0.5206706237634072,128,312,16.0
4037,36,0.5166356685265551,32,134,5.875
4187,37,0.5075111652456354,128,334,17.0
4257,38,0.5034232782923882,32,154,7.0
4399,39,0.49495149475351413,128,326,16.0
4501,40,0.48928466581857327,64,236,11.0
4649,41,0.4815100154083205,128,324,16.75
4781,42,0.4742933029785619,128,304,14.75
4891,43,0.46855964764314495,128,252,12.0
4969,44,0.4644681839294008,64,176,8.0
5056,45,0.46027800791678175,64,190,9.125
5150,46,0.45578851412944393,64,208,10.0
5361,47,0.4457917261055635,256,460,24.625
5480,48,0.4404122258433894,128,266,13.125
5603,49,0.43500957021054465,64,270,13.625
5751,50,0.4286326618088298,128,318,16.75
5974,51,0.41935754424222094,256,490,26.125
6110,52,0.4138730237563116,128,304,15.25
6165,53,0.4115565067083711,32,136,5.125
6283,54,0.40719928332926136,128,256,13.0
6362,55,0.4041057140547967,64,178,8.125
6427,56,0.40154192097654995,64,156,6.375
6519,57,0.3979624323463865,64,210,9.75
6645,58,0.39351487486226977,64,286,14.0
6861,59,0.38580246913580246,256,484,25.25
6977,60,0.38165025570567135,128,262,12.75
7061,61,0.3787591849102341,64,190,8.75
7197,62,0.37413947919784496,128,296,15.25
7401,63,0.3673229503379371,256,448,23.75
7522,64,0.36353060927730113,128,264,13.375
7636,65,0.3598675687347056,128,252,12.5
7790,66,0.3552902721523485,128,336,17.5
7849,67,0.3535317825072474,32,132,5.625
8018,68,0.34835922803595065,128,382,19.375
8089,69,0.3464283239797686,32,156,7.125
8234,70,0.34223134839151265,128,328,16.375
8337,71,0.3391900142459806,128,230,11.125
8434,72,0.3364737550471063,64,218,10.375
8564,73,0.3331112591605596,128,282,14.5
8790,74,0.3273965426925092,256,478,26.5
8888,75,0.3248229714805431,128,212,10.5
8973,76,0.3227472243738704,64,192,8.875
9057,77,0.3206567049317001,64,184,8.75
9135,78,0.3187352584942946,64,186,8.0
9219,79,0.3167162855514031,32,194,8.75
9355,80,0.31347962382445144,64,310,15.25
9492,81,0.3102121851346321,128,302,15.375
9588,82,0.30793865861920305,64,212,10.25
9765,83,0.303988326848249,128,386,20.375
9854,84,0.301987074953192,64,212,9.375
10023,85,0.2981514609421586,256,384,19.375
10211,86,0.29418686749823486,128,406,21.75
10324,87,0.29171528588098017,64,246,12.375
10436,88,0.2896032435563278,128,254,12.25
10649,89,0.28545329984014617,256,466,24.875
10716,90,0.28420394475075317,32,146,6.625
10833,91,0.28197608842770133,64,262,12.875
10918,92,0.28047343916531103,64,188,8.875
11027,93,0.2784584539986634,64,244,11.875
11069,94,0.2776081283659986,32,104,3.5
11190,95,0.2753910552985239,128,260,13.375
11306,96,0.2731643356643357,128,260,12.75
11472,97,0.2700513097488523,128,372,19.0
11598,98,0.2678667095253402,128,274,14.0
11674,99,0.2665671482646479,64,166,7.75
11832,100,0.26365745623286224,128,350,18.0
12006,101,0.2606474482614815,128,384,20.0
12132,102,0.258585022755482,128,286,14.0
12211,103,0.25725457913150857,64,182,8.125
12425,104,0.25383287643415575,256,466,25.0
12534,105,0.25211778943122226,128,242,11.875
12631,106,0.2506642602897679,64,212,10.375
12728,107,0.24916529625753725,64,218,10.375
12793,108,0.24822518989227027,32,150,6.375
12851,109,0.24745125210333566,32,138,5.5
13004,110,0.24521824423737126,128,348,17.375
13054,111,0.2445226917057903,32,116,4.5
13160,112,0.24300155520995334,64,236,11.5
13264,113,0.24149922720247297,64,238,11.25
13402,114,0.23950948457558918,128,310,15.5
13482,115,0.23843586075345732,64,174,8.25
13560,116,0.23732675147142585,64,174,8.0
13704,117,0.23542706469535737,128,312,16.25
13802,118,0.2340933564305445,64,210,10.5
13935,119,0.23222330593098323,128,308,14.875
14015,120,0.23113905325443787,32,184,8.25
14173,121,0.2291160702011639,128,352,18.0
14244,122,0.22825838849577723,32,156,7.125
