time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-12_20:56:45.911301,2500,20,1,194,256,430,2308,116.9,99.2,259.9,1062.6,194,256,430,2308,116.9,99.2,259.9,1062.6
2019-02-12_20:56:48.369837,5000,43,1,194,256,430,2308,115.44186046511628,104.18604651162791,257.4418604651163,1055.2558139534883,194,256,430,2308,115.44186046511628,104.18604651162791,257.4418604651163,1055.2558139534883
2019-02-12_20:56:51.152429,7500,64,1,205,256,430,2360,115.9375,105.5,258.5,1060.3125,205,256,430,2360,115.9375,105.5,258.5,1060.3125
2019-02-12_20:56:53.760680,10000,86,1,205,256,442,2360,115.22093023255815,105.30232558139535,257.16279069767444,1052.9302325581396,205,256,442,2360,115.22093023255815,105.30232558139535,257.16279069767444,1052.9302325581396
2019-02-12_20:56:56.612089,12500,107,1,228,256,494,2776,115.65420560747664,106.76635514018692,257.9065420560748,1061.0093457943926,228,256,494,2776,115.75,108.16,258.06,1063.72
2019-02-12_20:56:59.055073,15000,131,1,228,256,494,2776,114.0,103.57251908396947,254.65648854961833,1036.9160305343512,228,256,494,2776,112.68,102.08,251.8,1017.12
2019-02-12_20:57:01.763792,17500,152,1,228,256,494,2776,114.78289473684211,104.21052631578948,256.2763157894737,1045.2631578947369,228,256,494,2776,114.26,104.64,255.1,1040.32
2019-02-12_20:57:05.037081,20000,179,1,228,256,494,2776,111.71508379888269,100.11173184357541,249.49720670391062,1003.3519553072625,228,256,494,2776,110.0,97.6,245.76,978.92
2019-02-12_20:57:07.318605,22500,201,1,228,256,494,2776,111.68656716417911,100.13930348258707,249.6417910447761,1003.2039800995025,228,256,494,2776,107.87,94.08,241.6,949.32
2019-02-12_20:57:09.721550,25000,222,1,228,256,494,2776,112.58108108108108,101.90990990990991,251.72972972972974,1017.4954954954954,210,256,454,2444,111.34,99.52,249.52,998.32
2019-02-12_20:57:12.545288,27500,241,1,244,256,538,2996,113.96265560165975,103.30290456431536,254.78838174273858,1037.7261410788383,244,256,538,2996,113.9,103.04,254.64,1039.48
2019-02-12_20:57:15.057311,30000,260,1,244,256,538,2996,115.1,105.1076923076923,257.53846153846155,1056.0,244,256,538,2996,118.12,110.08,265.14,1108.28
2019-02-12_20:57:18.365459,32500,282,1,244,256,538,2996,114.78368794326241,104.17021276595744,256.86524822695037,1049.8297872340424,244,256,538,2996,120.52,111.36,270.54,1135.36
2019-02-12_20:57:20.692337,35000,301,1,244,256,538,2996,116.21594684385381,105.35548172757476,260.01328903654485,1068.5581395348838,244,256,538,2996,125.32,115.84,280.86,1199.92
2019-02-12_20:57:22.988736,37500,323,1,244,256,538,2996,115.76160990712074,104.61919504643963,258.9783281733746,1061.8328173374614,244,256,538,2996,122.63,110.4,274.7,1157.8
2019-02-12_20:57:25.790529,40000,345,1,244,256,538,2996,115.74492753623188,104.53333333333333,258.9391304347826,1062.249275362319,237,256,508,2832,118.96,106.56,266.2,1105.76
2019-02-12_20:57:28.114857,42500,366,1,287,256,646,3652,115.95901639344262,104.56830601092896,259.4754098360656,1065.8360655737704,287,256,646,3652,117.94,103.04,264.18,1089.52
2019-02-12_20:57:30.746683,45000,391,1,287,256,646,3652,115.08184143222506,103.61125319693095,257.62659846547314,1054.6700767263428,287,256,646,3652,111.88,97.92,250.64,1010.8
2019-02-12_20:57:33.008224,47500,412,1,287,256,646,3652,115.22815533980582,103.6116504854369,257.91747572815535,1055.4077669902913,287,256,646,3652,113.71,100.48,254.76,1036.96
2019-02-12_20:57:35.425295,50000,434,1,287,256,646,3652,115.14976958525345,103.2258064516129,257.62672811059906,1052.7649769585253,287,256,646,3652,111.83,98.24,250.4,1004.8
2019-02-12_20:57:37.461450,52500,456,1,287,256,646,3652,115.03947368421052,103.19298245614036,257.3859649122807,1051.8333333333333,287,256,646,3652,112.5,98.4,251.62,1012.52
2019-02-12_20:57:39.642641,55000,476,1,287,256,646,3652,115.3844537815126,103.56302521008404,258.07563025210084,1056.1512605042017,217,256,468,2496,113.83,100.64,254.18,1027.48
2019-02-12_20:57:41.855767,57500,500,1,287,256,646,3652,114.948,103.2,257.16,1050.24,206,256,454,2432,112.87,100.0,252.02,1014.44
2019-02-12_20:57:44.160146,60000,521,1,287,256,646,3652,115.06333973128599,103.58541266794626,257.404990403071,1052.130518234165,208,256,454,2432,114.92,104.8,256.64,1047.04
2019-02-12_20:57:46.526369,62500,542,1,287,256,646,3652,115.24538745387454,103.76383763837639,257.8265682656827,1054.5756457564576,250,256,560,3060,115.68,104.8,258.78,1060.2
2019-02-12_20:57:49.094274,65000,561,1,287,256,646,3652,115.68983957219251,104.01426024955437,258.75579322638146,1059.9073083778967,250,256,560,3060,117.27,105.92,262.06,1078.24
2019-02-12_20:57:51.474649,67500,584,1,287,256,646,3652,115.48630136986301,103.6986301369863,258.3321917808219,1056.7397260273972,250,256,560,3060,115.79,103.04,259.38,1055.32
2019-02-12_20:57:53.803034,70000,605,1,287,256,646,3652,115.65619834710743,103.7487603305785,258.700826446281,1059.2132231404958,267,256,586,3196,119.05,105.92,266.08,1100.4
2019-02-12_20:57:56.287717,72500,625,1,287,256,646,3652,116.0,104.1152,259.456,1063.808,267,256,586,3196,119.76,105.92,267.68,1109.2
2019-02-12_20:57:58.739391,75000,645,1,287,256,646,3652,116.1937984496124,104.6077519379845,259.92248062015506,1067.4232558139536,267,256,586,3196,121.43,109.12,271.48,1138.68
2019-02-12_20:58:01.380014,77500,666,1,287,256,646,3652,116.36636636636636,104.48048048048048,260.26726726726724,1068.6726726726727,267,256,586,3196,120.25,107.2,268.9,1119.68
2019-02-12_20:58:03.509155,80000,686,1,287,256,646,3652,116.6064139941691,104.8396501457726,260.8134110787172,1072.3440233236151,250,256,552,3016,121.51,109.76,271.62,1140.0
2019-02-12_20:58:05.725747,82500,706,1,287,256,646,3652,116.85552407932012,105.13314447592067,261.38810198300285,1075.6657223796035,250,256,532,3004,124.57,114.24,278.7,1181.64
2019-02-12_20:58:07.749543,85000,727,1,287,256,646,3652,116.83768913342503,105.08940852819808,261.2984869325997,1074.6960110041266,250,256,532,3004,122.54,111.36,273.64,1147.84
2019-02-12_20:58:10.165127,87500,748,1,287,256,646,3652,116.95454545454545,105.3048128342246,261.6149732620321,1076.4598930481284,250,256,532,3004,121.01,109.76,270.82,1125.92
