step,game,eps,max_tile,sum,total_reward
92,1,1,64,214,700
210,2,1,128,262,1160
275,3,1,32,142,376
372,4,1,64,220,736
499,5,1,128,288,1236
616,6,1,64,260,984
800,7,1,128,404,1964
923,8,1,128,274,1140
1037,9,1,64,246,928
1121,10,1,64,202,660
1222,11,1,64,216,736
1408,12,1,256,402,2216
1484,13,1,64,176,552
1678,14,1,256,430,2308
1826,15,1,128,328,1432
1996,16,1,128,370,1624
2090,17,1,64,216,768
2167,18,1,32,166,464
2241,19,1,64,166,536
2338,20,1,64,216,732
2524,21,1,256,420,2268
2574,22,1,32,118,268
2714,23,1,128,322,1384
2796,24,1,64,186,620
2936,25,1,128,310,1348
3112,26,1,256,388,2076
3204,27,1,64,210,756
3319,28,1,128,252,1044
3437,29,1,128,270,1120
3553,30,1,64,252,940
3666,31,1,128,254,1048
3798,32,1,128,292,1284
3876,33,1,64,180,572
3939,34,1,32,148,376
4074,35,1,128,294,1272
4186,36,1,128,252,1072
4336,37,1,128,326,1440
4493,38,1,128,336,1472
4630,39,1,128,300,1320
4701,40,1,64,162,484
4784,41,1,64,192,600
4866,42,1,64,188,632
4964,43,1,64,220,728
5071,44,1,64,244,896
5154,45,1,64,184,592
5290,46,1,128,306,1320
5388,47,1,64,212,792
5485,48,1,64,220,736
5600,49,1,128,262,1068
5747,50,1,128,330,1404
5902,51,1,128,350,1544
6021,52,1,128,266,1120
6097,53,1,32,172,500
6186,54,1,64,202,728
6327,55,1,128,320,1400
6435,56,1,128,242,1012
6521,57,1,64,186,620
6655,58,1,128,302,1252
6805,59,1,128,330,1440
6935,60,1,128,292,1276
7048,61,1,128,246,1032
7120,62,1,64,164,500
7215,63,1,128,214,892
7420,64,1,256,430,2360
7561,65,1,128,314,1348
7663,66,1,64,236,860
7781,67,1,128,270,1120
7874,68,1,64,202,744
7960,69,1,64,188,620
8053,70,1,64,206,756
8146,71,1,64,212,700
8247,72,1,64,220,752
8326,73,1,64,178,576
8417,74,1,64,196,672
8558,75,1,128,316,1360
8733,76,1,256,406,2188
8839,77,1,128,246,1032
8917,78,1,64,178,544
8997,79,1,64,172,576
9125,80,1,128,274,1220
9322,81,1,256,442,2348
9459,82,1,128,302,1320
9576,83,1,128,270,1112
9688,84,1,64,244,876
9816,85,1,128,292,1268
9909,86,1,64,208,700
10011,87,1,64,222,756
10147,88,1,128,298,1280
10237,89,1,64,200,656
10364,90,1,128,290,1240
10490,91,1,128,272,1208
10575,92,1,64,194,620
10662,93,1,64,192,628
10780,94,1,128,258,1156
10884,95,1,128,232,976
10997,96,1,128,260,1064
11166,97,1,128,368,1772
11289,98,1,128,280,1228
11404,99,1,128,248,1044
11521,100,1,128,276,1176
11662,101,1,128,312,1356
11746,102,1,64,196,620
11974,103,1,256,494,2776
12113,104,1,128,314,1348
12206,105,1,64,198,656
12277,106,1,64,156,480
12375,107,1,128,220,936
12531,108,1,128,346,1572
12615,109,1,64,184,600
12730,110,1,128,262,1064
12844,111,1,128,260,1060
12943,112,1,64,222,828
12984,113,1,32,110,220
13074,114,1,64,200,680
13200,115,1,128,292,1260
13283,116,1,64,192,612
13378,117,1,64,206,704
13457,118,1,64,174,572
13579,119,1,128,274,1136
13718,120,1,128,308,1344
13799,121,1,32,178,536
13859,122,1,32,128,336
13965,123,1,128,240,1000
14112,124,1,128,322,1412
14272,125,1,128,372,1584
14414,126,1,128,324,1396
14551,127,1,128,304,1324
14662,128,1,64,248,904
14802,129,1,128,320,1384
14874,130,1,32,158,440
14934,131,1,32,140,340
15024,132,1,64,202,732
15160,133,1,128,312,1336
15253,134,1,64,208,696
15389,135,1,128,298,1304
15523,136,1,128,302,1312
15669,137,1,128,330,1416
15796,138,1,128,288,1236
15908,139,1,128,258,1048
15991,140,1,64,188,600
16075,141,1,64,194,628
16176,142,1,128,222,932
16301,143,1,64,262,1020
16494,144,1,256,416,2236
16586,145,1,64,202,696
16723,146,1,128,304,1324
16804,147,1,64,184,596
16950,148,1,128,328,1424
17095,149,1,128,328,1420
17241,150,1,128,316,1380
17300,151,1,32,134,324
17447,152,1,128,318,1384
17540,153,1,64,202,668
17596,154,1,32,124,296
17678,155,1,64,180,592
17755,156,1,64,184,572
17849,157,1,64,206,700
17929,158,1,64,174,568
18004,159,1,64,176,556
18114,160,1,64,246,900
18214,161,1,64,226,836
18381,162,1,256,368,2004
18461,163,1,64,188,624
18539,164,1,64,174,568
18626,165,1,64,188,624
18724,166,1,64,224,768
18815,167,1,64,210,692
18910,168,1,64,218,772
19016,169,1,128,236,1000
19098,170,1,64,180,560
19240,171,1,128,322,1392
19309,172,1,32,148,408
19460,173,1,128,336,1460
19534,174,1,64,164,508
19651,175,1,128,254,1092
19742,176,1,64,212,704
19811,177,1,32,154,412
19924,178,1,64,250,916
19997,179,1,64,162,528
20120,180,1,128,276,1200
20243,181,1,128,278,1204
20317,182,1,64,168,512
20476,183,1,128,348,1560
20603,184,1,128,280,1220
20709,185,1,128,228,956
20812,186,1,64,248,884
20867,187,1,32,128,300
